study,session,pNo,condition,congruency,sessionOrder,a,v,t0_Ter
1,1,124,deplete,incongruent,deplete-control,0.0884,0.1402,0.5216
1,1,125,control,congruent,control-deplete,0.1279,0.3704,0.3679
1,1,125,control,incongruent,control-deplete,0.1167,0.2376,0.3919
1,2,125,deplete,congruent,control-deplete,0.0965,0.3759,0.3918
1,2,125,deplete,incongruent,control-deplete,0.1161,0.3402,0.3985
1,2,126,control,congruent,deplete-control,0.1315,0.2364,0.37
1,2,126,control,incongruent,deplete-control,0.1262,0.226,0.5332
1,1,126,deplete,congruent,deplete-control,0.1394,0.3417,0.3596
1,1,126,deplete,incongruent,deplete-control,0.1311,0.2175,0.4167
1,2,132,control,congruent,deplete-control,0.1672,0.2828,0.4417
1,2,132,control,incongruent,deplete-control,0.1172,0.1529,0.6082
1,1,132,deplete,congruent,deplete-control,0.1851,0.2558,0.4374
1,1,132,deplete,incongruent,deplete-control,0.1259,0.1372,0.582
1,1,133,control,congruent,control-deplete,0.1275,0.37,0.4021
1,1,133,control,incongruent,control-deplete,0.126,0.3165,0.4463
1,2,133,deplete,congruent,control-deplete,0.1102,0.3243,0.4286
1,2,133,deplete,incongruent,control-deplete,0.0946,0.1978,0.485
1,2,136,control,congruent,deplete-control,0.0886,0.3773,0.3909
1,2,136,control,incongruent,deplete-control,0.0867,0.2982,0.4059
1,1,136,deplete,congruent,deplete-control,0.0953,0.3071,0.3921
1,1,136,deplete,incongruent,deplete-control,0.1323,0.3547,0.3575
1,1,137,control,congruent,control-deplete,0.1214,0.2751,0.379
1,1,137,control,incongruent,control-deplete,0.0931,0.1439,0.4347
1,2,137,deplete,congruent,control-deplete,0.085,0.2446,0.3968
1,2,137,deplete,incongruent,control-deplete,0.0952,0.2285,0.3937
1,2,138,control,congruent,deplete-control,0.1415,0.2577,0.4113
1,2,138,control,incongruent,deplete-control,0.1218,0.184,0.6283
1,1,138,deplete,congruent,deplete-control,0.1808,0.2624,0.408
1,1,138,deplete,incongruent,deplete-control,0.1288,0.1462,0.6758
1,1,139,control,congruent,control-deplete,0.194,0.2809,0.3528
1,1,139,control,incongruent,control-deplete,0.1337,0.212,0.462
1,2,139,deplete,congruent,control-deplete,0.1757,0.27,0.3576
1,2,139,deplete,incongruent,control-deplete,0.1265,0.1836,0.4674
1,1,141,control,congruent,control-deplete,0.201,0.2374,0.3646
1,1,141,control,incongruent,control-deplete,0.1204,0.1285,0.784
